#OTU ID	OahuBird-105	OahuBird-109	OahuBird-112	OahuBird-120	OahuBird-121	OahuBird-122	OahuBird-125	OahuBird-134	OahuBird-136	OahuBird-143	OahuBird-144	OahuBird-145	OahuBird-146	OahuBird-147	OahuBird-148	OahuBird-150	OahuBird-151	OahuBird-152	OahuBird-153	OahuBird-154	OahuBird-155	OahuBird-156	OahuBird-157	OahuBird-158	OahuBird-159	OahuBird-160	OahuBird-161	OahuBird-163	OahuBird-164	OahuBird-165	OahuBird-166	OahuBird-167	OahuBird-168	OahuBird-169	OahuBird-170	OahuBird-171	OahuBird-172	OahuBird-173	OahuBird-174	OahuBird-176	OahuBird-177	OahuBird-178	OahuBird-179	OahuBird-180	OahuBird-181	OahuBird-182	OahuBird-183	OahuBird-184	OahuBird-185	OahuBird-186	OahuBird-187	OahuBird-190	OahuBird-191	OahuBird-192	OahuBird-193	OahuBird-194	OahuBird-195	OahuBird-196	OahuBird-197	OahuBird-198	OahuBird-200	OahuBird-201	OahuBird-202	OahuBird-203	OahuBird-204	OahuBird-205	OahuBird-206	OahuBird-207	OahuBird-208	OahuBird-209	OahuBird-210	OahuBird-211	OahuBird-212	OahuBird-213	OahuBird-214	OahuBird-215	OahuBird-217	OahuBird-218	OahuBird-219	OahuBird-220	OahuBird-221	OahuBird-222	OahuBird-223	OahuBird-224	OahuBird-225	OahuBird-226	OahuBird-227	OahuBird-229	OahuBird-230	OahuBird-231	OahuBird-232	OahuBird-233	OahuBird-234	OahuBird-235	OahuBird-236	OahuBird-237	OahuBird-238	OahuBird-239	OahuBird-240	OahuBird-241	OahuBird-242	OahuBird-243	OahuBird-244	OahuBird-245	OahuBird-246	OahuBird-247	OahuBird-248	OahuBird-249	OahuBird-250	OahuBird-251	OahuBird-252	OahuBird-253	OahuBird-254	OahuBird-255	OahuBird-256	OahuBird-258	OahuBird-259	OahuBird-260	OahuBird-261	OahuBird-262	OahuBird-263	OahuBird-266	OahuBird-267	OahuBird-268	OahuBird-269	OahuBird-270	OahuBird-271	OahuBird-273	OahuBird-274	OahuBird-275	OahuBird-276	OahuBird-277	OahuBird-279	OahuBird-280	OahuBird-289	OahuBird-290	OahuBird-291	OahuBird-292	OahuBird-299	OahuBird-301	OahuBird-303	OahuBird-304	OahuBird-307	OahuBird-308	OahuBird-309	OahuBird-311	OahuBird-312	OahuBird-323	OahuBird-324	OahuBird-325	OahuBird-326	OahuBird-327	OahuBird-328	OahuBird-329	OahuBird-330	OahuBird-331	OahuBird-332	OahuBird-333	OahuBird-335	OahuBird-336	OahuBird-337	OahuBird-338	OahuBird-339	OahuBird-340	OahuBird-341	OahuBird-342	OahuBird-343	OahuBird-344	OahuBird-345	OahuBird-347	OahuBird-348	OahuBird-350	OahuBird-351	OahuBird-352	OahuBird-353	OahuBird-354	OahuBird-355	OahuBird-356	OahuBird-357	OahuBird-359	OahuBird-360	OahuBird-361	OahuBird-362	OahuBird-363	OahuBird-364	OahuBird-365	OahuBird-366	OahuBird-367	OahuBird-368	OahuBird-369	OahuBird-371	OahuBird-372	OahuBird-373	OahuBird-374	OahuBird-375	OahuBird-376	OahuBird-377	OahuBird-378	OahuBird-379	OahuBird-380	OahuBird-385	OahuBird-387	OahuBird-388	OahuBird-390	OahuBird-391	OahuBird-393	OahuBird-397	OahuBird-398	OahuBird-399	OahuBird-400	OahuBird-401	OahuBird-402	OahuBird-403	OahuBird-404	OahuBird-407	OahuBird-408	OahuBird-409	OahuBird-410	OahuBird-411	OahuBird-412	OahuBird-413	OahuBird-414	OahuBird-415	OahuBird-416	OahuBird-417	OahuBird-418	OahuBird-419	OahuBird-420	OahuBird-421	OahuBird-422	OahuBird-423	OahuBird-424	OahuBird-426	OahuBird-427	OahuBird-428	OahuBird-429	OahuBird-430	OahuBird-431	OahuBird-432	OahuBird-433	OahuBird-434	OahuBird-435	OahuBird-436	OahuBird-437	OahuBird-438	OahuBird-439	OahuBird-440	OahuBird-441	OahuBird-442	OahuBird-443	OahuBird-444	OahuBird-445	OahuBird-446	OahuBird-448	OahuBird-451	OahuBird-452	OahuBird-454	OahuBird-455	OahuBird-456	OahuBird-457	OahuBird-462	OahuBird-463	OahuBird-464	OahuBird-465	OahuBird-466	OahuBird-467	OahuBird-468	OahuBird-469	OahuBird-470	OahuBird-482	OahuBird-486	OahuBird-488	OahuBird-489	OahuBird-491	OahuBird-492	OahuBird-493	OahuBird-495	OahuBird-496	OahuBird-497	OahuBird-499	OahuBird-501	OahuBird-502	OahuBird-503	OahuBird-504	OahuBird-508	OahuBird-509	OahuBird-513	OahuBird-514	OahuBird-515	OahuBird-516	OahuBird-517	OahuBird-518	OahuBird-519	OahuBird-520	OahuBird-521	OahuBird-522	OahuBird-523	OahuBird-525	OahuBird-526	OahuBird-528	OahuBird-539	OahuBird-540	OahuBird-549	OahuBird-550	OahuBird-551	OahuBird-553	OahuBird-555	OahuBird-556	OahuBird-557	OahuBird-558	OahuBird-561	OahuBird-562	OahuBird-563	OahuBird-564	OahuBird-565	OahuBird-574	OahuBird-575	OahuBird-576	OahuBird-578	OahuBird-579	OahuBird-581	OahuBird-584	OahuBird-588	OahuBird-589	OahuBird-591	OahuBird-592	OahuBird-593	OahuBird-594	OahuBird-595	OahuBird-596	OahuBird-597	OahuBird-598	OahuBird-600	OahuBird-601	OahuBird-602	OahuBird-605	OahuBird-607	OahuBird-609	OahuBird-610	OahuBird-611	OahuBird-613	OahuBird-615	OahuBird-617	OahuBird-618	OahuBird-619	OahuBird-622	OahuBird-623	OahuBird-626	OahuBird-631	OahuBird-636	OahuBird-638	OahuBird-639	OahuBird-640	OahuBird-641	OahuBird-643	OahuBird-644	OahuBird-645	OahuBird-646	OahuBird-647	OahuBird-650	OahuBird-651	OahuBird-652	OahuBird-653	OahuBird-654	OahuBird-657	OahuBird-658	OahuBird-659	OahuBird-660	OahuBird-661	OahuBird-662	OahuBird-663	OahuBird-664	OahuBird-665	OahuBird-666	OahuBird-667	OahuBird-670	OahuBird-672	OahuBird-677	OahuBird-681	OahuBird-683	OahuBird-684	OahuBird-685	OahuBird-697	OahuBird-709	OahuBird-710	OahuBird-713	OahuBird-717	OahuBird-719	OahuBird-721	OahuBird-733	OahuBird-744	OahuBird-757	OahuBird-776	OahuBird-792	OahuBird-805	Taxonomy
OTU1439_suspect_mock_chimera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SS|0.9900|BOLD:ACE0044.1;k:Animalia,p:Arthropoda,c:Insecta,o:Hymenoptera
OTU1440_suspect_mock_chimera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	US|0.9546|BOLD:AAG4676.1;k:Animalia,p:Arthropoda,c:Insecta,o:Lepidoptera
OTU1441_suspect_mock_chimera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	GS|100.0|BOLD:AAA3461.1;k:Animalia,p:Arthropoda,c:Insecta,o:Lepidoptera,f:Cosmopterigidae
OTU1442	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	US|1.0000|BOLD:ACO3665.1;k:Animalia,p:Arthropoda,c:Insecta,o:Hemiptera
OTU1443	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	US|1.0000|BOLD:AAZ9468.1;k:Animalia,p:Arthropoda,c:Arachnida,o:Araneae
OTU1444_suspect_mock_chimera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	GS|100.0|BOLD:AAE8119.1;k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Drosophilidae,g:Drosophila,s:Drosophila hydei
OTU1447_suspect_mock_chimera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	US|0.9546|BOLD:AAY4866.1;k:Animalia,p:Arthropoda,c:Insecta,o:Lepidoptera
OTU1448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	US|0.9925|BOLD:AAZ4419.1;k:Animalia,p:Arthropoda,c:Insecta,o:Hymenoptera
OTU1449_suspect_mock_chimera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	181	0	0	0	107	0	0	0	0	0	0	0	163	0	0	0	0	51	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	111	264	0	0	0	0	0	0	0	245	443	0	0	0	0	0	0	85	0	65	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	0	0	108	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	US|0.9715|BOLD:ACY5797.1;k:Animalia,p:Arthropoda,c:Insecta,o:Diptera
OTU1452_suspect_mock_chimera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	US|0.9803|BOLD:AAB3765.2;k:Animalia,p:Arthropoda,c:Insecta,o:Diptera
OTU1453_suspect_mock_chimera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	GS|97.2|BOLD:AAZ2285.1;k:Animalia,p:Arthropoda,c:Insecta,o:Hemiptera,f:Flatidae
OTU1456_suspect_mock_chimera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	US|0.9963|BOLD:ACR0883.1;k:Animalia,p:Arthropoda,c:Arachnida,o:Trombidiformes
